0,1,2,3,4,5,6,7,8,9,10
0.5989817897,0.2555316233,0.0023497161,0.0092030546,0.0289798316,0.0759741531,0.0001958097,0,0.0287840219,0,0
0.5989817897,0.2533777169,0.0043078128,0.0072449579,0.0332876444,0.0665752888,0.0009790484,0,0.0352457411,0,0
0.5989817897,0.2494615234,0.0029371451,0.0080281966,0.0328960251,0.0808693949,0.001174858,0,0.0256510672,0,0
0.5960446446,0.2488740944,0.0039161935,0.0092030546,0.032308596,0.0747992951,0.0013706677,0.0001958097,0.0332876444,0,0
0.596436264,0.247307617,0.0048952418,0.0086156256,0.0336792638,0.0794987272,0.0015664774,0.0001958097,0.0278049736,0,0
0.5980027413,0.2439788526,0.0045036225,0.0082240063,0.0370080282,0.0793029176,0.000587429,0.0001958097,0.0280007832,0.0001958097,0
0.5958488349,0.2453495203,0.0041120031,0.0082240063,0.0366164089,0.0845897787,0.0013706677,0.0001958097,0.0236929704,0,0
0.5968278833,0.2429998042,0.0035245741,0.0093988643,0.0356373605,0.0818484433,0.0009790484,0,0.0287840219,0,0
0.5960446446,0.238300372,0.0043078128,0.009594674,0.0395535539,0.0902682593,0.0013706677,0.0001958097,0.0201683963,0.0001958097,0
0.5907577834,0.2392794204,0.0074407676,0.0088114353,0.0377912669,0.0910514979,0.001174858,0.0001958097,0.0234971608,0,0
0.5897787351,0.2390836107,0.0060700999,0.0088114353,0.0403367926,0.0867436851,0.0007832387,0.0001958097,0.0281965929,0,0
0.5903661641,0.2369297043,0.0068533386,0.0103779127,0.0375954572,0.0981006462,0.0013706677,0.0003916193,0.0176228706,0.0001958097,0.0001958097
0.5876248287,0.2406500881,0.0056784805,0.0123360094,0.0330918347,0.0920305463,0.0009790484,0.0003916193,0.0270217349,0,0.0001958097
0.5878206383,0.236538085,0.0088114353,0.011356961,0.0422948894,0.0894850206,0.0015664774,0.0001958097,0.0219306834,0,0
0.5882122577,0.2369297043,0.0072449579,0.010769532,0.0366164089,0.0982964558,0.0017622871,0.0007832387,0.019189348,0.0001958097,0
0.5870373996,0.2394752301,0.0060700999,0.011356961,0.0373996475,0.0953593107,0.0021539064,0.0001958097,0.0205600157,0.0003916193,0
0.5882122577,0.237712943,0.0070491482,0.0097904836,0.0372038379,0.0935970237,0.0023497161,0.0009790484,0.0227139221,0.0003916193,0
0.586254161,0.2379087527,0.0064617192,0.0093988643,0.0393577443,0.0967299785,0.0025455257,0.0009790484,0.020364206,0,0
0.5876248287,0.2290973174,0.0074407676,0.0103779127,0.0450362248,0.0969257881,0.0017622871,0.001174858,0.020364206,0.0001958097,0
0.58684159,0.2267476013,0.0076365772,0.0125318191,0.0395535539,0.1022126493,0.001174858,0.001174858,0.0217348737,0.0001958097,0.0001958097
0.5823379675,0.2259643626,0.0074407676,0.010769532,0.04190327,0.1026042687,0.0033287644,0.000587429,0.0246720188,0.0003916193,0
0.5866457803,0.2202858821,0.0072449579,0.0099862933,0.0440571764,0.1051497944,0.0027413354,0.0013706677,0.0219306834,0.0003916193,0.0001958097
0.5837086352,0.2259643626,0.0078323869,0.0097904836,0.0444487958,0.1031916977,0.0017622871,0.0013706677,0.0207558253,0.0003916193,0.0007832387
0.5848834932,0.2234188369,0.0086156256,0.0109653417,0.0422948894,0.1039749364,0.0029371451,0.0007832387,0.021539064,0.000587429,0
0.5848834932,0.2300763658,0.0066575289,0.0099862933,0.0415116507,0.1057372234,0.0009790484,0.000587429,0.0189935383,0.0001958097,0.0003916193
0.5846876836,0.2277266497,0.0062659095,0.010182103,0.0432739377,0.1053456041,0.0013706677,0.0017622871,0.0189935383,0.0003916193,0
0.5856667319,0.22753084,0.0062659095,0.0099862933,0.0411200313,0.1016252203,0.0027413354,0.0015664774,0.0227139221,0.0007832387,0
0.5870373996,0.2271392207,0.0045036225,0.0088114353,0.0446446054,0.10182103,0.0021539064,0.000587429,0.022126493,0.0007832387,0.0003916193
0.5872332093,0.2240062659,0.0056784805,0.0103779127,0.0426865087,0.1039749364,0.0019580967,0.0017622871,0.020951635,0.0009790484,0.0003916193
0.5842960642,0.2261601723,0.0064617192,0.0084198159,0.0452320345,0.0992755042,0.0033287644,0.001174858,0.0238887801,0.0015664774,0.0001958097
0.5813589191,0.2289015077,0.0068533386,0.0092030546,0.041315841,0.1037791267,0.0019580967,0.0021539064,0.0231055414,0.0013706677,0
0.5829253965,0.2261601723,0.0056784805,0.010182103,0.0436655571,0.1026042687,0.0023497161,0.0017622871,0.0231055414,0.001174858,0.0003916193
0.5770511063,0.2279224594,0.0074407676,0.0115527707,0.0397493636,0.1045623654,0.0029371451,0.0021539064,0.0244762091,0.0017622871,0.0003916193
0.5776385353,0.2277266497,0.0080281966,0.0097904836,0.0436655571,0.1057372234,0.0021539064,0.0025455257,0.0205600157,0.0019580967,0.0001958097
0.5743097709,0.2240062659,0.0080281966,0.0127276287,0.0438613668,0.1020168396,0.0023497161,0.0033287644,0.0280007832,0.0013706677,0
0.5735265322,0.2216565498,0.009007245,0.0115527707,0.04190327,0.1069120815,0.0025455257,0.0027413354,0.0272175445,0.0027413354,0.0001958097
0.5729391032,0.2198942628,0.010182103,0.0109653417,0.0442529861,0.1055414137,0.0017622871,0.0033287644,0.0295672606,0.0015664774,0
0.5692187194,0.2242020756,0.0082240063,0.0105737223,0.0442529861,0.1090659879,0.0023497161,0.0031329548,0.0256510672,0.0031329548,0.0001958097
0.5700019581,0.2198942628,0.0092030546,0.011356961,0.0460152732,0.1100450362,0.0039161935,0.0037203838,0.0231055414,0.0017622871,0.0009790484
0.5639318582,0.2253769336,0.0097904836,0.0135108674,0.0440571764,0.1094576072,0.0019580967,0.0031329548,0.0270217349,0.0017622871,0
0.567064813,0.2216565498,0.010182103,0.011356961,0.0467985118,0.1059330331,0.0023497161,0.0039161935,0.0281965929,0.0023497161,0.0001958097
0.5627570002,0.2232230272,0.011356961,0.0133150578,0.041315841,0.1116115136,0.0025455257,0.0043078128,0.0272175445,0.0019580967,0.0003916193
0.5641276679,0.2247895046,0.0078323869,0.0137066771,0.0479733699,0.1037791267,0.0035245741,0.0035245741,0.0285882123,0.0019580967,0.0001958097
0.5654983356,0.2214607402,0.010769532,0.0127276287,0.04190327,0.1090659879,0.0025455257,0.0031329548,0.0289798316,0.0035245741,0.0003916193
0.5684354807,0.2228314079,0.0080281966,0.0111611514,0.0454278441,0.1098492266,0.0021539064,0.0029371451,0.0248678285,0.0037203838,0.000587429
0.5684354807,0.2189152144,0.010182103,0.0121401997,0.0456236538,0.1074995105,0.0029371451,0.0027413354,0.0264343059,0.0043078128,0.0007832387
0.5694145291,0.2210691208,0.0082240063,0.011356961,0.0436655571,0.1043665557,0.0031329548,0.0031329548,0.0328960251,0.0025455257,0.0001958097
0.5660857646,0.2243978853,0.0103779127,0.0117485804,0.0442529861,0.1074995105,0.0039161935,0.0027413354,0.0248678285,0.0031329548,0.0009790484
0.5660857646,0.2261601723,0.010769532,0.0111611514,0.0436655571,0.1031916977,0.0041120031,0.0025455257,0.0276091639,0.0043078128,0.0003916193
0.5607989035,0.2298805561,0.009007245,0.0135108674,0.0442529861,0.1039749364,0.0041120031,0.0041120031,0.0266301155,0.0033287644,0.0003916193
0.5615821422,0.2249853143,0.0088114353,0.0135108674,0.0460152732,0.1094576072,0.0029371451,0.0035245741,0.0256510672,0.0035245741,0
0.5627570002,0.228118269,0.0092030546,0.0105737223,0.0446446054,0.1059330331,0.0031329548,0.0033287644,0.0289798316,0.0031329548,0.0001958097
0.5621695712,0.2294889368,0.0078323869,0.0080281966,0.050910515,0.1065204621,0.0019580967,0.0045036225,0.0250636381,0.0033287644,0.0001958097
0.5639318582,0.2259643626,0.0117485804,0.0078323869,0.0497356569,0.102408459,0.0021539064,0.0048952418,0.0264343059,0.0039161935,0.0009790484
0.5654983356,0.226355982,0.0097904836,0.010769532,0.0477775602,0.1033875073,0.0029371451,0.0043078128,0.0266301155,0.0023497161,0.0001958097
0.5639318582,0.2296847464,0.009007245,0.0103779127,0.0469943215,0.0992755042,0.0033287644,0.0027413354,0.031133738,0.0033287644,0.0001958097
0.5645192873,0.2279224594,0.0105737223,0.0103779127,0.0497356569,0.10182103,0.0027413354,0.0025455257,0.0256510672,0.0039161935,0.0001958097
0.5643234776,0.1909144312,0.050323086,0.0082240063,0.0440571764,0.1026042687,0.0031329548,0.0033287644,0.0287840219,0.0039161935,0.0003916193
0.5662815743,0.1842569023,0.051497944,0.0082240063,0.0458194635,0.1028000783,0.0052868612,0.0021539064,0.0297630703,0.0031329548,0.0007832387
0.5668690033,0.1828862346,0.0548267084,0.0058742902,0.0464068925,0.1039749364,0.0048952418,0.0029371451,0.0287840219,0.0025455257,0
0.5701977678,0.1801448992,0.0565889955,0.0056784805,0.0458194635,0.0965341688,0.0052868612,0.0041120031,0.032308596,0.0029371451,0.0003916193
0.5666731937,0.18562757,0.0552183278,0.0054826708,0.0432739377,0.1049539847,0.0072449579,0.0017622871,0.0276091639,0.0015664774,0.000587429
0.5698061484,0.1785784218,0.0601135696,0.0054826708,0.0469943215,0.1004503622,0.0046994322,0.0033287644,0.0280007832,0.0025455257,0
0.5684354807,0.1817113765,0.0607009986,0.0050910515,0.0446446054,0.1039749364,0.0043078128,0.0035245741,0.0252594478,0.0019580967,0.0003916193
0.5725474838,0.1805365185,0.061680047,0.0050910515,0.0438613668,0.0977090268,0.0056784805,0.0031329548,0.0280007832,0.0015664774,0.0001958097
0.5713726258,0.1826904249,0.0620716663,0.0058742902,0.0446446054,0.1008419816,0.0045036225,0.0027413354,0.0234971608,0.0015664774,0.0001958097
